id;segment;delivery_type;logistic_status;push_title;push_subtitle;email_subject;email_snippet;email_title;email_body;email_button
45;C2C;Постаматы;Canceled_by_mo;Авито Доставка;Заказ отменён* из-за технического сбоя — вместе с*ним отменилась рассрочка;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ отменён;Случился технический сбой. Простите, что так вышло 🙏\n\nРассрочка автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
46;C2C;Постаматы;Canceled_by_stocks;Авито Доставка;Заказ пришлось отменить: другой покупатель оформил доставку чуть раньше. Рассрочка тоже отменилась;Заказ пришлось отменить;Рассрочка отменилась вместе с*ним;Заказ пришлось отменить: товар закончился*😔;Рассрочка тоже автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
47;C2C;Постаматы;Canceled_by_refund;Авито Доставка;Заказ отменён*— вместе с*ним отменилась рассрочка;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ отменён: простите, что так вышло*🙏;Рассрочка тоже автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
48;C2C;DBS ПВЗ;Paid;Авито Доставка;Заказ в*рассрочку оформлен, ждём подтверждения от*продавца;Заказ в рассрочку оформлен;Ждём, когда продавец его подтвердит;Заказ в рассрочку оформлен;"Ждём, когда продавец его подтвердит. Напоминаем: это доставка силами продавца*— уточните у*него условия проверки и*возврата товара.

Все детали по*рассрочке, графику платежей и*погашению вынесли на*страницу заказа*— ознакомьтесь с ними.";На страницу заказа
49;C2C;DBS ПВЗ;Confirmed;Авито Доставка;Заказ в рассрочку подтверждён. Ждём от*продавца трек-номер посылки;Заказ в рассрочку подтверждён;Ждём от*продавца трек-номер посылки;Заказ подтверждён;"Теперь продавец должен отправить вам трек номер посылки.

Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.";На страницу заказа
50;C2C;DBS ПВЗ;Unconfirmed;Авито Доставка;Заказ отменён — продавец не*успел его подтвердить. Рассрочка автоматически отменилась;Заказ в рассрочку отменён;Продавец не*успел его подтвердить;Заказ отменён;"Продавец не*успел его подтвердить.

Рассрочка тоже отменилась. Попробуйте оформить заказ ещё раз.

Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.";На страницу заказа
51;C2C;DBS ПВЗ;Placed;Авито Доставка;Продавец отправит заказ в*рассрочку до*10*мая включительно, уже есть трек-номер;Получили трек номер;Продавец отправит заказ до*10*мая включительно;Трек номер: 1239874424521;"Продавец отправит заказ до*10*мая включительно. Вы можете отследить посылку на*cdek.ru.

Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.";На страницу заказа
52;C2C;DBS ПВЗ;Performed;Авито Доставка;Заказ в*рассрочку в*пути. Примерный срок доставки*— до*1*июня;Заказ в пути;Его доставят до*1*июня;Заказ в*пути;"Примерный срок доставки*— до*20*мая. Вы можете отследить посылку на*cdek.ru.

Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.";На страницу заказа
53;C2C;DBS ПВЗ;Provided / Delivered;Авито Доставка;Заказ в*рассрочку доставили*— получите его в*пункте выдачи. Возьмите с*собой паспорт;Заказ доставили;Получите его по*паспорту;Заберите заказ до*1*июня включительно;"Возьмите с*собой паспорт. Адрес пункта, номер получения и*правила проверки можно узнать на*странице заказа.

Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.";На страницу заказа
54;C2C;DBS ПВЗ;Received;Авито Доставка;Подтвердите получение, если заказ в*рассрочку уже у*вас;Подтвердите получение;Если заказ доставили;Подтвердите получение;"Если посылку уже доставили, откройте страницу заказа и*нажмите кнопку*— мы*напишем продавцу, что всё хорошо и*можно принимать оплату.

13*апреля заказ закроется автоматически.

Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.";На страницу заказа
55;C2C;DBS ПВЗ;Accepted;Авито Доставка;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по рассрочке;Поздравляем с*покупкой*🎉;"Напишите, как всё прошло, — оставьте продавцу отзыв.

Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.

Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.";На страницу заказа
56;C2C;DBS ПВЗ;Return performed;Авито Доставка;Вы*отменили заказ*— вместе с*ним отменилась рассрочка;Заказ отменён;Рассрочка отменилась вместе с*ним;Вы отказались от заказа;"Рассрочка автоматически отменилась.

Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.";На страницу заказа
57;C2C;DBS ПВЗ;Canceled from failed to check;Авито Доставка;Заказ в*рассрочку отменён*— продавец не*передал трек-номер;Заказ в рассрочку отменён;Продавец не*передал трек-номер;Заказ пришлось отменить: продавец не*передал трек номер;"Рассрочка тоже автоматически отменилась.

Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.";На страницу заказа
58;C2C;DBS ПВЗ;Canceled from unassembled;Авито Доставка;Заказ в*рассрочку отменён*— продавец не*передал трек-номер;Заказ в рассрочку отменён;Продавец не*передал трек-номер;Заказ пришлось отменить: продавец не*передал трек номер;"Рассрочка тоже автоматически отменилась.

Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.";На страницу заказа
59;C2C;DBS ПВЗ;Canceled from unperformed;Авито Доставка;Заказ в*рассрочку отменён*— продавец его не*отправил;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ пришлось отменить: продавец его не*отправил;"Рассрочка тоже автоматически отменилась.

Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.";На страницу заказа
60;C2C;DBS ПВЗ;Canceled;Авито Доставка;Вы*отменили заказ*— вместе с*ним отменилась рассрочка;Вы*отменили заказ;Рассрочка отменилась вместе с*ним;Вы*отменили заказ;"Рассрочка тоже автоматически отменилась.

Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.";На страницу заказа
61;C2C;DBS ПВЗ;Rejected;Авито Доставка;Продавец*отменил заказ*— рассрочка тоже автоматически отменилась;Продавец отменил заказ;Рассрочка отменилась вместе с*заказом;Продавец отменил заказ;"Рассрочка тоже автоматически отменилась.

Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.";На страницу заказа
62;C2C;DBS ПВЗ;Lost;Авито Доставка;Что-то случилось*— заказ не*привезут. Рассрочка автоматически отменилась;Что то случилось* заказ не*доставят;Рассрочка отменилась;Служба доставки не*сможет привезти заказ;"К*сожалению, в*пути возникли проблемы. Простите, что так вышло*🙏

Рассрочка автоматически отменилась.

Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.";На страницу заказа
63;C2C;DBS ПВЗ;Canceled by stocks;Авито Доставка;Заказ пришлось отменить: другой покупатель оформил доставку чуть раньше. Рассрочка отменилась;Заказ в рассрочку пришлось отменить;Товар закончился;Заказ пришлось отменить: товар закончился*😔;"Другой покупатель уже оформил доставку товара из*объявления «Фен dyson supersonic hd07 синий + Расчёски»*

Рассрочка автоматически отменилась. Если вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.";На страницу заказа
64;C2C;rDBS;Paid;Авито Доставка;Заказ в*рассрочку оформлен, ждём подтверждения от*продавца;Заказ в рассрочку оформлен;Ждём, когда продавец его подтвердит;Заказ в рассрочку оформлен;Ждём, когда продавец его подтвердит. Напоминаем: это доставка силами продавца*— уточните у*него условия проверки и*возврата товара.\n\nВсе детали по*рассрочке, графику платежей и*погашению вынесли на*страницу заказа*— ознакомьтесь с ними.;На страницу заказа
65;C2C;rDBS;Confirmed;Авито Доставка;Заказ в рассрочку подтверждён. Примерный срок доставки*— до*1*июня;Заказ в рассрочку подтверждён;Срок доставки*— 1*июня;Заказ подтверждён;Продавец доставит его 1*июня.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
66;C2C;rDBS;Unconfirmed;Авито Доставка;Заказ отменён — продавец не*успел его подтвердить. Рассрочка автоматически отменилась;Заказ в рассрочку отменён;Продавец не*успел его подтвердить;Заказ отменён;Продавец не*успел его подтвердить. Рассрочка тоже отменилась. Попробуйте оформить заказ ещё раз.\n\nЕсли вносили какие то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
